Название,Тип Постройки,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Страница объекта в интернет,Контактный телефон,Адрес,Долгота,Широта
Городская усадьба Я. А. Маслова - А. П. Оболенского,Дома и дворцы,None,None,None,None,None,None,None,None,None,Варсонофьевский пер.+++ д. 1+++ строения 2+++ 3/ Рожлественка ул.+++ д. 12,55.7638917,37.6242278
Городская усадьба Якова Шаховского - Ивана Краузе - Осиповских,Дома и дворцы,None,None,None,None,None,None,None,None,None,Воздвиженка ул.+++ 18/9,55.7532389,37.6028417
Городской особняк в Скатертном переулке,Дома и дворцы,None,None,None,None,None,None,None,None,None,Скатертный пер.+++ д. 25,55.7566889,37.5912833
Городской родильный дом имени А. А. Абрикосовой,Дома и дворцы,None,None,None,None,None,None,None,None,None,2-я Миусская ул.+++ д. 1/10,55.7774917,37.5895306
"Гостиница ""Боярский двор""",Дома и дворцы,None,None,None,None,None,None,None,None,None,Старая площадь+++ д. 8,55.7540833,37.6322194
Гостиница у Покровских ворот,Дома и дворцы,None,None,None,None,None,None,None,None,None,Покровка ул.+++ д.17+++ стр.1 и д.16,55.7596056,37.6453222
Гостиница Украина пристань,Речная станция,None,None,None,None,None,None,None,None,None,Наб. Тараса Шевченко,55.7528028,37.5658611
Гостиный двор,Дома и дворцы,None,None,None,None,None,None,None,None,None,Ильинка ул.+++ д.4,55.7538056,37.6254917
Государственный Академический Центральный Театр кукол,Современные здания,10.00-19.00,10.00-19.00,10.00-19.00,10.00-19.00,10.00-19.00,10.00-19.00,10.00-19.00,None,None,Cадовая-Самотечная ул.д.3,55.7740889,37.6143528
Государственный Кремлевский дворец,Дома и дворцы,None,None,None,None,None,None,None,None,None,Московский Кремль,55.7517389,37.6156639
Государственный музей изобразительных искусств им. А.С.Пушкина,Дома и дворцы,None,None,None,None,None,None,None,None,None,Волхонка ул.+++ д. 12,55.7472722,37.605175
Готический дом в Селивёрстове переулке,Дома и дворцы,None,None,None,None,None,None,None,None,None,Селивёрстов пер.+++ д. 10 стр. 2,55.7697361,37.6347972
Грановитая палата,Дома и дворцы,None,None,None,None,None,None,None,None,None,Московский Кремль,55.7505222,37.6167139
Гребной канал Крылатское,Спортивные объекты,None,None,None,None,None,None,None,None,None,Крылатская ул.+++ д. 2,55.7545694,37.4352028
Гребной канал пристань,Речная станция,None,None,None,None,None,None,None,None,None,Ул. Нижние Мневники,55.7486,37.4352306
Дача К.Ф. Зегера,Дома и дворцы,None,None,None,None,None,None,None,None,None,Волоколамское шоссе+++ д. 47+++ стр. 2,55.8144,37.4648639
Дача Постниковых-Коншиных-И.А. Манташева,Дома и дворцы,None,None,None,None,None,None,None,None,None,Ленинградский просп.+++ д. 21,55.7824694,37.5702222
Дача-голубятня,Дома и дворцы,None,None,None,None,None,None,None,None,None,2-й Верхний Михайловский проезд д. 2,55.7096167,37.6051028
Дворец Алексея Михайловича в Коломенском,Дома и дворцы,None,None,None,None,None,None,None,None,None,Андропова просп.+++ д. 39,55.6557667,37.6566694
Дворец князей Долгоруковых,Дома и дворцы,None,None,None,None,None,None,None,None,None,Пречистенка ул.+++ д. 19/11+++ стр. 1,55.7413611,37.5937667
Дворец Кусково,Дома и дворцы,None,None,None,None,None,None,None,None,None,Юности ул.+++ д. 2,55.7353111,37.807575
Дворец Разумовского,Дома и дворцы,None,None,None,None,None,None,None,None,None,Казакова ул.+++ д.18-20,55.7625917,37.6686111
Дворцовые ворота в Коломенском,Башни и ворота,None,None,None,None,None,None,None,None,None,Проспект Андропова д. 39С3,55.6674833,37.6693139
Дворцовый павильон XIX века в Коломенском,Дома и дворцы,None,None,None,None,None,None,None,None,None,Проспект Андропова д.39+++ стр.8,55.668625,37.6714972
Деловой двор,Дома и дворцы,None,None,None,None,None,None,None,None,None,Славянская пл. д.2,55.7534639,37.6345194
Деловой центр,Станция метро,None,None,None,None,None,None,None,None,None,Пресненская наб.+++ ММДЦ Москва-Сити,55.7493139,37.5408194
Деловой центр (МЦК),Московское центральное кольцо (МЦК),05.30-01.00,05.30-01.00,05.30-01.00,05.30-01.00,05.30-01.00,05.30-01.00,05.30-01.00,None,None,Тестовская ул.,55.7475222,37.5332778
Деловой центр Большой кольцевой линии,Станция метро,None,None,None,None,None,None,None,None,None,Краснопресненская набережная,55.7490389,37.5397694
Деревянный дом,Дома и дворцы,None,None,None,None,None,None,None,None,None,Огородная слобода пер.+++ д. 9,55.7662611,37.6437028
Детская больница имени Хлудова (Сеченова),Дома и дворцы,None,None,None,None,None,None,None,None,None,Большая Пироговская ул.+++ д. 19+++ стр. 1,55.7315778,37.5721278
Детский Музыкальный театр им. Н.И. Сац,Современные здания,12.00-19.00,12.00-19.00,12.00-19.00,12.00-19.00,12.00-19.00,12.00-19.00,12.00-19.00,None,None,Проспект Вернадского+++ д.5,55.6963611,37.5444972
Детский приют Елизаветинского благотворительного общества,Дома и дворцы,None,None,None,None,None,None,None,None,None,Архангельский пер.+++ д. 17,55.7631833,37.6394528
Динамо,Станция метро,None,None,None,None,None,None,None,None,None,Ленинградский пр.,55.7889889,37.5596389
Дмитровская,Станция метро,None,None,None,None,None,None,None,None,None,Дмитровское шоссе,55.8079861,37.5812944
Добрынинская,Станция метро,None,None,None,None,None,None,None,None,None,на углу Люсиновской улицы и Коровьего Вала,55.7289889,37.6228
"Дом ""Патриарх""",Дома и дворцы,None,None,None,None,None,None,None,None,None,Малая Бронная ул.+++ д. 44,55.7653861,37.5917889
Дом А. И. Лобковой,Дома и дворцы,None,None,None,None,None,None,None,None,None,Козицкий пер.+++ д. 5,55.7649694,37.6092611
Дом А. П. Елагиной,Дома и дворцы,None,None,None,None,None,None,None,None,None,Хоромный туп.+++ 4+++ стр. 6,55.7676,37.648875
Дом А. Я. Уварова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большой Спасоглинищевский пер.+++ д. 4,55.7570833,37.6340861
Дом Аксаковых,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большой Афанасьевский пер.+++ д. 12+++ c. 1,55.7465389,37.5975417
Дом Аксеновых,Дома и дворцы,None,None,None,None,None,None,None,None,None,5-й Монетчиковский пер.+++ д. 11 стр. 1,55.7320806,37.6309306
Дом актеров театра имени Вахтангова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большой Лёвшинский пер.+++ д. 8а,55.7422028,37.5874
Дом Ананова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Кривоколенный пер.+++ д. 3,55.7610333,37.6336694
Дом Апраксиных-Трубецких,Дома и дворцы,None,None,None,None,None,None,None,None,None,Покровка ул. д.22,55.7595,37.6478278
Дом артистов Большого театра,Дома и дворцы,None,None,None,None,None,None,None,None,None,Брюсов пер.+++ 7,55.758325,37.6057694
Дом архитектора А. Г. Григорьева,Дома и дворцы,None,None,None,None,None,None,None,None,None,Милютинский пер.+++ д. 8,55.7621861,37.631925
Дом архитектора Гончарова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Трехпрудный пер.+++ д. 2а,55.7645611,37.5987194
Дом архитектора Кузнецова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Мансуровский пер.+++ д. 11,55.7398917,37.593875
Дом архитектора Н.Г. Фалеева,Дома и дворцы,None,None,None,None,None,None,None,None,None,Милютинский пер.+++ д.3,55.7614139,37.6315806
Дом Балашовой и Наркомата вооружения,Дома и дворцы,None,None,None,None,None,None,None,None,None,Чистопрудный бул.+++ д. 11,55.7625111,37.6442639
Дом барона Кнопа,Дома и дворцы,None,None,None,None,None,None,None,None,None,Колпачный переулок д.5 стр. 2,55.7578083,37.6431917
Дом Берии,Дома и дворцы,None,None,None,None,None,None,None,None,None,Вспольный пер.+++ д. 1/28,55.7593917,37.5864556
Дом Боткина,Дома и дворцы,None,None,None,None,None,None,None,None,None,Земляной вал ул.+++ д. 35+++ стр. 1,55.7563111,37.658575
Дом братьев Гандуриных,Дома и дворцы,None,None,None,None,None,None,None,None,None,Староконюшенный пер.+++ д. 2. стр.3,55.7438028,37.5953944
Дом Бройдо,Дома и дворцы,None,None,None,None,None,None,None,None,None,Денежный пер.+++ д. 7+++ стр. 1,55.7437306,37.5873583
Дом Брюса,Дома и дворцы,None,None,None,None,None,None,None,None,None,Мясницкая ул.+++ д. 13 - 15,55.7626833,37.6344167
Дом Брюса в Брюсовом переулке,Дома и дворцы,None,None,None,None,None,None,None,None,None,Брюсов пер.+++ д. 2/14,55.7570944,37.6054722
Дом Брюсова на Цветном бульваре,Дома и дворцы,None,None,None,None,None,None,None,None,None,Цветной бул.+++ д. 22+++ стр. 1,55.7708611,37.6228611
Дом в Сокольниках,Современные здания,None,None,None,None,None,None,None,None,None,Русаковская ул.+++ 31,55.7883972,37.6781667
Дом в Тепличном переулке,Современные здания,None,None,None,None,None,None,None,None,None,Тепличный пер.+++ д. 4,55.7900417,37.4961556
Дом Варвары Разумовской,Дома и дворцы,None,None,None,None,None,None,None,None,None,Маросейка ул.+++ д. 2/15,55.7571833,37.6322
Дом Веденеева,Дома и дворцы,None,None,None,None,None,None,None,None,None,2-я Тверская-Ямская ул.+++ д. 2,55.7706417,37.5965889
Дом Веневитинова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Кривоколенный пер.+++ д. 4+++ стр. 1,55.7604889,37.6332167
Дом Верстовского,Дома и дворцы,None,None,None,None,None,None,None,None,None,Хлебный пер.+++ д. 28,55.7565722,37.5907222
Дом Волконских на Воздвиженке,Дома и дворцы,None,None,None,None,None,None,None,None,None,Воздвиженка ул. д.9,55.7525861,37.6048917
Дом генерала Орлова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Пречистенка ул.+++ д. 10/2. стр. 1,55.7439722,37.598975
Дом Герцена,Дома и дворцы,None,None,None,None,None,None,None,None,None,Тверской бульвар д.25,55.7625528,37.6021472
Дом Голохвастовых,Дома и дворцы,None,None,None,None,None,None,None,None,None,Тверской бул.+++ д. 13,55.7599944,37.5997833
Дом городских начальных училищ,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большая Пироговская ул.+++ д. 9А+++ стр. 1,55.7352667,37.5796889
Дом Госстраха,Дома и дворцы,None,None,None,None,None,None,None,None,None,Малая Бронная ул.+++ 21/13+++ стр. 1,55.7626722,37.594975
Дом графа Остермана,Дома и дворцы,None,None,None,None,None,None,None,None,None,Делегатская ул.+++ д. 3 с.1,55.7747583,37.6099639
Дом Губернского правления,Дома и дворцы,None,None,None,None,None,None,None,None,None,Никольская ул.+++ 5/1 стр. 1,55.7555389,37.6188528
Дом Губина,Дома и дворцы,None,None,None,None,None,None,None,None,None,Петровка ул.+++ д. 25,55.7671194,37.61415
Дом Гудовичей,Дома и дворцы,None,None,None,None,None,None,None,None,None,Брюсов пер.+++ д. 21,55.7601917,37.6090472
Дом Гурьевых,Дома и дворцы,None,None,None,None,None,None,None,None,None,Лялин пер.+++ д. 3+++ стр. 1,55.7606194,37.6514917
Дом Гусятниковых,Дома и дворцы,None,None,None,None,None,None,None,None,None,Лаврушинский пер. 4+++ стр. 1,55.7429583,37.6199056
Дом дворцового ведомства,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большой Левшинский пер.+++ д. 8/1+++ стр. 1,55.7424333,37.5881528
Дом декабриста Свистунова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Гагаринский пер.+++ д. 25,55.7447139,37.5925972
Дом Демидова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Гороховский переулок+++ д. 4,55.7647639,37.6622583
Дом Демидова на Пятницкой,Дома и дворцы,None,None,None,None,None,None,None,None,None,Пятницкая ул.+++ д. 18,55.7419611,37.62825
Дом Дениса Давыдова в Большом Знаменском переулке,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большой Знаменский пер.+++ д. 17,55.7476306,37.602025
Дом Депре,Дома и дворцы,None,None,None,None,None,None,None,None,None,Петровка ул.+++ д.8,55.7618944,37.6184972
Дом Дерожинской,Дома и дворцы,None,None,None,None,None,None,None,None,None,Кропоткинский пер. д.13+++ стр. 1,55.7384722,37.5912889
Дом доктора Эберлина,Дома и дворцы,None,None,None,None,None,None,None,None,None,Климентовский пер.+++ д. 9/1,55.7407583,37.6261556
Дом Дурасовых,Дома и дворцы,None,None,None,None,None,None,None,None,None,Покровский бульвар+++ 11,55.75455,37.648575
Дом Дюгамель,Дома и дворцы,None,None,None,None,None,None,None,None,None,Мерзляковский пер.+++ д. 18,55.7558278,37.5982083
Дом Е.Д. Свешниковой,Дома и дворцы,None,None,None,None,None,None,None,None,None,Новокузнецкая ул.+++ д.29+++ стр. 1,55.734825,37.6335722
Дом Е.С. Лобковой,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большой Толмачевский пер.+++ д. 5+++ стр. 7,55.7402333,37.6202389
Дом Еропкина,Дома и дворцы,None,None,None,None,None,None,None,None,None,Остоженка ул.+++ д. 38,55.7387389,37.59485
Дом жилищного кооператива,Дома и дворцы,None,None,None,None,None,None,None,None,None,Пятницкий пер.+++ д. 3,55.7431306,37.6302417
Дом Журналиста,Дома и дворцы,None,None,None,None,None,None,None,None,None,Никтиский бульвар+++ д. 8/3,55.7539778,37.6016583
Дом Заборовой -Трубецких - Уваровых,Дома и дворцы,None,None,None,None,None,None,None,None,None,Леонтьевский пер.+++ д. 18,55.7606139,37.6056167
"Дом завода ""Геодезия""",Дома и дворцы,None,None,None,None,None,None,None,None,None,Пятницкая ул.+++ д. 59,55.733425,37.6277583
Дом И. А. Гагарина,Дома и дворцы,None,None,None,None,None,None,None,None,None,Зубовский бул.+++ д. 27+++ стр. 1,55.7367972,37.5889583
Дом И. Аверкиева,Дома и дворцы,None,None,None,None,None,None,None,None,None,Старопименовский переулок 11/6,55.7699083,37.6026083
Дом Игумнова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большая Якиманка ул.+++ д. 43,55.7327417,37.6129833
Дом Инжкоопстроя,Дома и дворцы,None,None,None,None,None,None,None,None,None,Котельническая наб.+++ д. 25+++ к. 2,55.7428194,37.6461444
Дом Кекушевой,Дома и дворцы,None,None,None,None,None,None,None,None,None,Остоженка ул.+++ д.21,55.7406583,37.5981111
Дом Киппена,Дома и дворцы,None,None,None,None,None,None,None,None,None,Старосадский пер.+++ д. 5/8,55.7570278,37.6403167
Дом князей Долгоруких,Дома и дворцы,None,None,None,None,None,None,None,None,None,Колпачный пер.+++ д. 4+++ стр. 4,55.75785,37.64155
Дом князя С. А. Меншикова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Газетный пер.+++ дом 1/12+++ стр. 4,55.7567139,37.6070694
Дом князя Щербатова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Погодинская ул.+++ д. 10-12,55.7325639,37.5674667
Дом Константина Критцкого,Дома и дворцы,None,None,None,None,None,None,None,None,None,Голиковский пер.+++ д. 9,55.7393583,37.6271528
Дом Константина Мейера,Дома и дворцы,None,None,None,None,None,None,None,None,None,Чернышевского пер.+++ д.4+++стр. 2,55.7821306,37.6091278
"Дом кооператива ""Военный строитель""",Дома и дворцы,None,None,None,None,None,None,None,None,None,Покровка+++ 7/ Потаповский пер.+++ д. 9,55.7597083,37.6421972
"Дом кооператива ""Жиркость""",Дома и дворцы,None,None,None,None,None,None,None,None,None,Петровка ул.+++ д. 22/ Рахмановский пер. д. 1,55.7646556,37.6170972
"Дом кооператива ""Звено""",Дома и дворцы,None,None,None,None,None,None,None,None,None,2-й Обыденский пер.+++ д. 10,55.7426556,37.6025472
Дом Коровина,Дома и дворцы,None,None,None,None,None,None,None,None,None,Чаплыгина ул.+++ д. 10,55.7632361,37.6470972
Дом Кропоткина,Дома и дворцы,None,None,None,None,None,None,None,None,None,Кропоткинский пер.+++ д. 26,55.7414417,37.5877722
Дом культуры имени Зуева,Дома и дворцы,None,None,None,None,None,None,None,None,None,Лесная ул.+++ д. 18,55.7791028,37.5901889
Дом купца Крумбюгеля,Дома и дворцы,None,None,None,None,None,None,None,None,None,Чаплыгина ул. д. 6,55.7640028,37.6458222
Дом купца Некрасова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Лубянский пр.+++ д. 7,55.7584,37.6297972
Дом купца Никитина,Дома и дворцы,None,None,None,None,None,None,None,None,None,Чистопрудный бул.+++ д. 5,55.7635889,37.6421667
Дом купца П. С. Пирогова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Каретный Малый пер.+++ д. 16/11,55.771225,37.6161833
Дом купца П. Ф. Дранищева,Дома и дворцы,None,None,None,None,None,None,None,None,None,Верхняя Радищевская ул.+++ д. 1/2,55.7457083,37.6487972
Дом купца Петра Толкова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большие Каменщики ул.+++ д. №15/13,55.7371778,37.6561722
Дом купца Шерупенкова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Лесная ул. д.1/2,55.7768694,37.5854861
Дом купцов Варгиных,Дома и дворцы,None,None,None,None,None,None,None,None,None,Пятницкая ул.+++ д. 16,55.7426083,37.6281056
Дом Лаврентьева,Дома и дворцы,None,None,None,None,None,None,None,None,None,Девяткин пер. д. 1/ Сверчков пер. д. 4,55.7597361,37.63855
Дом Левина,Дома и дворцы,None,None,None,None,None,None,None,None,None,Мясницкий+++ 3 / Садовая-Спасская+++ 26,55.7687417,37.6470417
Дом Лепёшкиных,Дома и дворцы,None,None,None,None,None,None,None,None,None,Пятницкая ул.+++ д. 48А,55.7358333,37.6271444
Дом Лермонтова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Малая Молчановка ул.+++ д. 2,55.7535139,37.594275
Дом Лорис-Меликова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Милютинский пер.+++ д. 19/4+++ стр. 1,55.7657083,37.6322667
Дом Матвеевой-Попова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Пятницкая ул.+++ д. 47,55.7372278,37.6284028
Дом Мельникова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Кривоарбатский пер.+++ д. 10,55.7480389,37.5894722
Дом Мильгаузена,Дома и дворцы,None,None,None,None,None,None,None,None,None,Гончарная ул.+++ д. 2,55.7464389,37.6445028
Дом Михоэлса,Дома и дворцы,None,None,None,None,None,None,None,None,None,Тверской бул.+++ д. 14+++ стр. 5,55.7599611,37.6017333
Дом молитвы Зеленограда (баптистская),Католические и протестантские,None,None,None,None,None,None,None,None,None,г. Зеленоград+++ 11-й микрорайон+++ корпус 1144,55.9923806,37.1823917
Дом Моссельпрома,Дома и дворцы,None,None,None,None,None,None,None,None,None,Калашный пер+++ д. 2/10,55.7539111,37.6024722
Дом Н. И. Миндовского,Дома и дворцы,None,None,None,None,None,None,None,None,None,Пречистенский пер.+++ д. 6/1,55.7435778,37.5949472
Дом Н.А. Терентьева,Дома и дворцы,None,None,None,None,None,None,None,None,None,Чистопрудный бульвар+++ д. 21/ Макаренко ул.+++ д. 2,55.7607944,37.6461556
Дом Н.С. Брашнина,Дома и дворцы,None,None,None,None,None,None,None,None,None,Пятницкая ул.+++ д. 44 стр. 1,55.7372806,37.6278444
Дом на Беговой,Современные здания,None,None,None,None,None,None,None,None,None,Хорошевское ш. д.12+++ к.1,55.775175,37.5508333
Дом на Мосфильмовской,Современные здания,None,None,None,None,None,None,None,None,None,Пырьева ул.+++ д. 2,55.7245111,37.5282667
Дом на Моховой,Дома и дворцы,None,None,None,None,None,None,None,None,None,Моховая ул.+++ д. 13+++ стр. 1,55.7562917,37.6134528
Дом на набережной,Дома и дворцы,None,None,None,None,None,None,None,None,None,Серафимовича ул.+++ дом 2/20+++ Берсеневская наб.+++ 20/2,55.7448083,37.6114806
Дом на Покровском бульваре,Современные здания,None,None,None,None,None,None,None,None,None,Казарменный пер. д.3,55.7569806,37.6512306
Дом на Смоленской набережной,Современные здания,None,None,None,None,None,None,None,None,None,Малый Новопесковский пер.+++ 8/17,55.7487556,37.5782417
Дом Народного комиссариата почт и телеграфов СССР,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большой Козловский пер.+++ д. 7,55.7673222,37.6473028
Дом Нащокина,Дома и дворцы,None,None,None,None,None,None,None,None,None,Воротниковский пер.+++ д. №12,55.7707778,37.6014278
Дом Обера,Дома и дворцы,None,None,None,None,None,None,None,None,None,Глинищевский пер.+++ д. 6,55.7631389,37.6104083
Дом ОГПУ в Милютинском переулке,Дома и дворцы,None,None,None,None,None,None,None,None,None,Милютинский пер.+++ д. 9,55.7635222,37.6317139
Дом Орловых-Мещерских,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большая Никитская ул.+++ д.5,55.7553417,37.6089306
Дом Остроухова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Трубниковский переулок+++ д. 17,55.7547472,37.5865472
Дом Охотниковых,Дома и дворцы,None,None,None,None,None,None,None,None,None,Пречистенка ул.+++ д.32/1,55.7405556,37.5905972
Дом П. А. Смирнова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Пятницкая ул.+++ д. 1/2 стр. 1,55.7458917,37.6267139
Дом П. Фёдорова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Малый Власьевский пер.+++ д. 5,55.7460972,37.59285
Дом П.В.Нащокина,Дома и дворцы,None,None,None,None,None,None,None,None,None,Гагаринский пер.+++ д. 4,55.7450722,37.5990944
Дом Пашкова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Воздвиженка ул.+++ д. 3/5,55.7497722,37.6084333
Дом Пегова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Малый Гнездниковский пер.+++ д. 12/27,55.7625167,37.6067778
Дом Перлова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Мясницкая ул.+++ д. 19,55.7639778,37.6358917
Дом Перцовой,Дома и дворцы,None,None,None,None,None,None,None,None,None,Соймоновский проезд+++ д. 1,55.7426056,37.6061167
Дом Петра Сысоева,Дома и дворцы,None,None,None,None,None,None,None,None,None,Печатников пер.+++ д. 7,55.7674528,37.6258333
Дом писателей в Лаврушинском переулке,Дома и дворцы,None,None,None,None,None,None,None,None,None,Лаврушинский пер.+++ д. 17,55.7410639,37.6217361
Дом писателя С. Т. Аксакова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Сивцев Вражек пер.+++ д. 30+++ стр. 1,55.7473389,37.590275
Дом Плещеевых,Дома и дворцы,None,None,None,None,None,None,None,None,None,Гусятников пер.+++ 3/1 стр. 1,55.7651806,37.6400667
Дом Пороховщикова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Староконюшенный пер.+++ д.36,55.7497861,37.5948917
Дом поэта А. Н. Майкова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большая Спасская ул.+++ д. 19а.+++ стр. 1,55.7750639,37.6408028
Дом правительства Российской Федерации,Дома и дворцы,None,None,None,None,None,None,None,None,None,Краснопресненская наб.+++ д. 2,55.7545028,37.5730583
Дом призрения Гурьевой,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большая Серпуховская ул.+++ д. 27+++ стр. 3,55.7245639,37.6275694
Дом призрения заслуженных престарелых членов почтово-телеграфного ведомства,Дома и дворцы,None,None,None,None,None,None,None,None,None,Чистопрудный бульвар д.4,55.7639278,37.6395444
Дом причта храма Христа Спасителя,Дома и дворцы,None,None,None,None,None,None,None,None,None,Соймоновский пр.+++ 7 стр. 1,55.743825,37.6031028
Дом причта церкви Николы в Гнездниках,Дома и дворцы,None,None,None,None,None,None,None,None,None,Леонтьевский пер.+++ д.23,55.761575,37.6064167
Дом причта церкви Спаса на Песках,Дома и дворцы,None,None,None,None,None,None,None,None,None,Каменная Слобода пер.+++ д. 2/1+++ стр. 2,55.7505667,37.5871583
Дом причта церкви Успения Пресвятой Богородицы в Котельниках,Дома и дворцы,None,None,None,None,None,None,None,None,None,Потаповский пер.+++ 16 стр. 3,55.7591278,37.6408889
Дом Романовых,Дома и дворцы,None,None,None,None,None,None,None,None,None,Тверской бульвар д.7/2,55.7593472,37.5978306
"Дом с ""беременными"" кариатидами",Дома и дворцы,None,None,None,None,None,None,None,None,None,Большой Головин пер.. д. 22,55.7694028,37.6301278
"Дом с ""галдарейками""",Дома и дворцы,None,None,None,None,None,None,None,None,None,Пятницкая ул.+++ д. 6/1,55.7445139,37.6272111
Дом с майоликами,Дома и дворцы,None,None,None,None,None,None,None,None,None,Лебяжий пер. д. 6/1,55.7479806,37.6103417
Дом с мезонином купца Давыдова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Пятницкая ул.+++ д. 62,55.7329444,37.6271444
Дом С. И. Елагина,Дома и дворцы,None,None,None,None,None,None,None,None,None,Страстной бульвар+++ д. 11,55.7675722,37.60945
Дом Савиных,Дома и дворцы,None,None,None,None,None,None,None,None,None,Спартаковская ул.+++ д. 3+++ стр. 1+++ 2+++ 3,55.7703639,37.6706444
Дом Санкт-Петербургского общества страхования,Дома и дворцы,None,None,None,None,None,None,None,None,None,Тверской бул.+++ д. 6,55.7582389,37.5997417
Дом Сарептского евангелического общества,Дома и дворцы,None,None,None,None,None,None,None,None,None,Спартаковская ул.+++ д. 11,55.7722139,37.6729278
Дом Святополк-Мирской,Дома и дворцы,None,None,None,None,None,None,None,None,None,Тверской бул.+++ д. 19,55.7615861,37.6013528
Дом Скакового общества,Дома и дворцы,None,None,None,None,None,None,None,None,None,Скаковая аллея+++ д. 7+++ (Скаковая ул.+++ д. 16),55.7812722,37.5663389
"Дом Скальского  и Журнал ""Красная новь""",Дома и дворцы,None,None,None,None,None,None,None,None,None,Кривоколенный пер.+++ д. 14 стр. 1,55.7624,37.6371806
Дом Скворцова - Ускова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Бобров пер.+++ д. 4,55.76535,37.6343167
Дом скульптора Андреева,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большой Афанасьевский пер.+++ д. 27,55.7487194,37.5967083
Дом со скульптурным фризом в Плотниковом переулке,Дома и дворцы,None,None,None,None,None,None,None,None,None,Плотников пер.+++ д.4/5,55.7443389,37.5886806
Дом Союзов,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большая Дмитровка ул.+++ д.1,55.7587833,37.6168028
Дом страхового общества Россия,Дома и дворцы,None,None,None,None,None,None,None,None,None,Сретенский бул.+++ 6/1+++ стр. 1+++2,55.7658083,37.6351806
Дом Стрельцова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Петровский бульвар+++ д.19/2 стр.1,55.7682083,37.6177028
Дом Строгановой,Дома и дворцы,None,None,None,None,None,None,None,None,None,Тверской бул.+++ д. 24,55.7623361,37.6038361
Дом Сытина в Сытинском переулке,Дома и дворцы,None,None,None,None,None,None,None,None,None,Сытинский пер.+++ дом 5/10+++ стр. 5.,55.7642667,37.6015472
Дом Т. Н. Вердеревского,Дома и дворцы,None,None,None,None,None,None,None,None,None,Сивцев Вражек пер.+++ д. 24,55.7473944,37.5925056
Дом Телешева,Дома и дворцы,None,None,None,None,None,None,None,None,None,Покровский бульвар д.18/15,55.7531917,37.6467083
Дом Терского (Лопатиных),Дома и дворцы,None,None,None,None,None,None,None,None,None,Сеченовский пер.+++ 6+++ стр. 2,55.7411639,37.5958111
Дом Толстого - Борисовских,Дома и дворцы,None,None,None,None,None,None,None,None,None,Земляной вал ул.+++ д. 27+++ стр. 3,55.7591056,37.6588056
Дом Третьяковых,Дома и дворцы,None,None,None,None,None,None,None,None,None,1-й Голутвинский пер.+++ д. 16+++ стр. 1,55.7376472,37.6115167
Дом трудолюбия и театр Юсупова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большой Харитоньевский пер.+++ д. 24,55.7656528,37.6492861
Дом Удельного ведомства с винными погребами,Дома и дворцы,None,None,None,None,None,None,None,None,None,Трубниковский пер.+++ д. 19,55.7551944,37.5867444
Дом усадьбы Аршеневского,Дома и дворцы,None,None,None,None,None,None,None,None,None,Таганская ул.+++ д. 13,55.7407444,37.6605306
