Название,Тип Постройки,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Страница объекта в интернете,Контактный Телефон,Адрес,Долгота,Широта,Круглосуточно
"Центральный военно-морской музей, Крейсер ""Аврора""",Музеи,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,www.aurora.org.ru,8 (812) 607-49-22,"197046, Санкт-Петербург, Петроградская наб.",59.960967000000004,30.334814,0
"Центральный военно-морской музей, Мемориальный комплекс ""Подводная лодка Д-2 ""Народоволец""",Музеи,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,www.navalmuseum.ru,+7(812)3565266,"199106, Санкт-Петербург, В.О., Шкиперский проток, 10",59.933505000000004,30.232297999999997,0
"Центральный выставочный зал ""Манеж""",Музеи,None,None,None,None,None,None,None,www.manege.spb.ru,+7 812 611 11 00,"190000, Санкт-Петербург, Исаакиевская пл., 1",59.933657999999994,30.304226,0
Центральный музей железнодорожного транспорта Российской Федерации,Музеи,None,None,None,None,None,None,None,http://cmzt.narod.ru/,+7(812)3151476,"190068, Санкт-Петербург, ул. Садовая, 50
Весенне-летний период: Фондовая площадка ""Пионерский парк"", вся информация по тлф 315-14-76.
Выставка ""Отечественное мостостроение"" в Красном селе 326-43-90",59.924293999999996,30.31373,0
Центральный музей почвоведения им. В.В. Докучаева Российской сельскохозяйственной академии,Музеи,None,None,None,None,None,None,None,музей-почвоведения.рф,+7(812)3285402,"199034, Санкт-Петербург, Биржевой проезд, 6",59.943674,30.301296999999998,0
Центральный музей связи имени А.С. Попова,Музеи,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,www.rustelecom-museum.ru,+7 (812) 571-00-60,"190000, Санкт-Петербург, Почтамтская ул., 7 (Почтамтский пер., 4)

от ст. метро «Адмиралтейская» и «Невский проспект»
автобусы: №3, №22, №27
троллейбусы: №5, №22",59.932315,30.302501,0
Центральный научно-исследовательский геологоразведочный музей им. академика Ф.Н. Чернышева,Музеи,None,None,None,None,None,None,None,http://www.vsegei.ru/ru/structure/information/museum/,+7(812)3215399,"199106, Санкт-Петербург, Средний пр., В.О., 74",59.9422,30.243877,0
Церковно-археологический музей Санкт-Петербургской Православной Духовной Академии,Музеи,None,None,None,None,None,None,None,http://spbda.ru/about/museum-of-academy/,+7(812)7173350,"193167, Санкт-Петербург, наб. Обводного канала, 17",59.917623,30.383834999999998,0
Юсуповский дворец,Музеи,None,None,None,None,None,None,None,www.yusupov-palace.ru,+7(812)3149883,"190000, Санкт-Петербург, наб. р. Мойки, 94",59.929384,30.299043,0
"Государственный историко-художественный дворцово-парковый музей-заповедник ""Гатчина""",Музеи,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,gatchinapalace.ru,+7 (812) 958-03-66,"188307, Ленинградская область, Гатчина, Красноармейский пр., 1",59.563337,30.105968,0
"Государственный музей-заповедник ""Павловск""",Музеи,06.00-21.00,06.00-21.00,06.00-21.00,06.00-21.00,06.00-21.00,06.00-21.00,06.00-21.00,pavlovskmuseum.ru,+7 (812) 452-15-36,"196621, Санкт-Петербург, г. Павловск, ул. Садовая, 20",59.685140000000004,30.454101,0
"Государственный музей-заповедник ""Петергоф"". Филиал ""Ораниенбаум""",Музеи,9.00-19.000,9.00-19.000,9.00-19.000,9.00-19.000,9.00-19.000,9.00-19.000,9.00-19.000,peterhofmuseum.ru,+7 (812) 422-80-16,"198412, Санкт-Петербург, г. Ломоносов, Дворцовый пр., 48",59.915643,29.760368,0
"Государственный музей-заповедник ""Петергоф""",Музеи,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,None,+7 (812) 450-74-25,"198516, Санкт-Петербург, г. Петергоф, Разводная ул., 2",59.883864,29.905688,0
"Государственный художественно-архитектурный дворцово-парковый музей-заповедник ""Царское Село""",Музеи,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,None,+7 (812) 466-66-69,"196601, Санкт-Петербург, г. Пушкин, Садовая ул., 7",59.71605200000001,30.395612,0
Детский музей открытки,Музеи,12.00-19.00,12.00-19.00,12.00-19.00,12.00-19.00,12.00-19.00,12.00-19.00,12.00-19.00,artgarden.spb.ru/nindex.php?id=museum,+7 (812) 233-10-07,"197198, Санкт-Петербург, Пионерская ул., 2",59.955061,30.296221999999997,0
Музей Фаберже,Музеи,10.00-20.00,10.00-20.00,10.00-20.00,10.00-20.00,10.00-20.00,10.00-20.00,10.00-20.00,http://fabergemuseum.ru/,+7 (812) 333 26 55,"191011, Санкт-Петербург, наб. реки Фонтанки, 21",59.934867000000004,30.342996999999997,0
Музей логистики,Музеи,12.00-17.00,12.00-17.00,12.00-17.00,12.00-17.00,12.00-17.00,12.00-17.00,12.00-17.00,http://www.logistics-museum.ru/,(812) 944-90-09,"Санкт-Петербург, 199106,
В.О., Кожевенная линия, д. 30",59.925263,30.25436,0
Музей варежки,Музеи,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,www.музей-варежки.рф,(812)966-01-66,"Санкт-Петербург, Набережная реки Мойки, дом 87
(вход в первую арку от Исаакиевской площади)",59.932368999999994,30.310388,0
Музей подводная лодка С-189,Музеи,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,http://museum-s-189.ru/,+7 (904) 613 7099,"Санкт-Петербург, Набережная Лейтенанта Шмидта, плавучий причал Ленинградской Военно-Морской базы (Напротив дома 31, угол 16-ой линии).",59.933726,30.277034000000004,0
МУЗЕЙ «ХХ ЛЕТ ПОСЛЕ ВОЙНЫ». МУЗЕЙ ПОВСЕДНЕВНОЙ КУЛЬТУРЫ ЛЕНИНГРАДА 1945-1965 ГОДОВ,Музеи,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,http://1945-1965.com/,"
+7-911-747-23-1","Санкт-Петербург Васильевский остров 4-я линия, 19-11",59.942417000000006,30.283223,0
Музей Кофе,Музеи,None,None,None,None,None,None,None,None,+7(812) 275-8739,"Санкт-Петербург, Воскресенская наб., д. 14",59.949465000000004,30.364584000000004,0
ЛабиринтУм интерактивный научный музей,Музеи,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,http://www.labirint-um.ru/,+7 (812) 328-00-08,"Санкт-Петербург, ул. Льва Толстого 9А",59.965123999999996,30.31567,0
"Государственный музейно-выставочный центр ""Росфото""",Музеи,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,rosphoto.org,+7 (812) 314-12-14,"190000, Санкт-Петербург, ул. Б. Морская, 35 лит М",59.93330699999999,30.310433000000003,0
Гранд Макет Россия,Музеи,None,None,None,None,None,None,None,None,+7(812) 495-54-65,"196006, Санкт-Петербург, ул. Цветочная, 16",59.887457999999995,30.331129999999998,0
"Интерактивный музей-театр ""Сказкин Дом"" на Горьковской",Музеи,10.30-19.00,10.30-19.00,10.30-19.00,10.30-19.00,10.30-19.00,10.30-19.00,10.30-19.00,http://www.skazkindom.ru/,+7(812) 612-75-26,"Санкт-Петербург, Александровский парк, 1а",59.953615,30.309212,0
"Интерактивный музей-театр ""Сказкин Дом"" на Пионерской",Музеи,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,http://www.skazkindom.ru/pionerskaya,+7(812) 622-08-68,"197341, Санкт-Петербург, Коломяжский пр., 17а",60.005437,30.299034000000002,0
Музей советских игровых автоматов,Музеи,None,None,None,None,None,None,None,http://www.15kop.ru/,+7(812) 740-02-40,"191186, Санкт-Петербург, Конюшенная пл., 2, литера В",59.94015400000001,30.326072999999997,0
Музей иллюзий,Музеи,None,None,None,None,None,None,None,http://bestmuseum.ru/,+7(812) 938-55-06,"191186, Санкт-Петербург, ул. Большая Морская, д. 5",59.937295999999996,30.317304999999998,0
"Исторический театр-макет ""Петровская акватория""",Музеи,None,None,None,None,None,None,None,http://www.peteraqua.ru/,+7(812) 933-41-52,"Санкт-Петербург, ул. Малая Морская, 4/1, ТРК «Адмирал»",59.936034,30.314637,0
"Музей живых бабочек ""Тропический рай""",Музеи,None,None,None,None,None,None,None,http://www.i-butterfly.ru/,+7 (812) 923-24-70,"191023, Санкт-Петербург, ул. Бухарестская, д. 30/32",59.883151,30.370001000000002,0
СТРИТАРТ МУЗЕЙ САНКТ-ПЕТЕРБУРГ,Музеи,12.00-22.00,12.00-22.00,12.00-22.00,12.00-22.00,12.00-22.00,12.00-22.00,12.00-22.00,http://streetartmuseum.ru/,"(812) 448-15-93 
","195248, Санкт-Петербург, шоссе Революции, д.84, вход с Индустриального проспекта",59.961287,30.452726000000002,0
Музей истории купечества Санкт-Петербурга и России,Музеи,11.00-17.00,11.00-17.00,11.00-17.00,11.00-17.00,11.00-17.00,11.00-17.00,11.00-17.00,http://bgd.ru/muzey-istorii-kupechestva,+7 (812) 630-00-44,"191186, г. Санкт-Петербург, Невский пр., 35 (Большой гостиный двор)",59.934172,30.332631,0
Музей специй,Музеи,11.00-21.00,11.00-21.00,11.00-21.00,11.00-21.00,11.00-21.00,11.00-21.00,11.00-21.00,spicemuseum.com,+7 (812) 986-50-90,"199034, Санкт-Петербург,  Большой проспект В.О., 6",59.940647999999996,30.28936,0
"Музей искусства Санкт-Петербурга XX–XXI веков, Филиал Центрального выставочного зала «Манеж»",Музеи,14.00-21.00,14.00-21.00,14.00-21.00,14.00-21.00,14.00-21.00,14.00-21.00,14.00-21.00,http://www.mispxx-xxi.ru/,312-25-45,"190000, Санкт-Петербург, набережная канала Грибоедова, дом 103",59.926506,30.300084000000002,0
Музей актеров Самойловых,Музеи,13.00-21.00,13.00-21.00,13.00-21.00,13.00-21.00,13.00-21.00,13.00-21.00,13.00-21.00,https://theatremuseum.ru/filial/memorialnyy_muzey_kvartira_akterov_samoylovyh,+7 (812) 764-11-30,"191025, Санкт-Петербург, ул. Стремянная, 8",59.931135999999995,30.350666999999998,0
Музей оптики,Музеи,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,optimus.ifmo.ru/ru,+7 (812) 457-17-79,"199034, Санкт-Петербург, Биржевая линия, д. 14",59.944373999999996,30.295140000000004,0
Музей «Route 66»,Музеи,12.00-21.00,12.00-21.00,12.00-21.00,12.00-21.00,12.00-21.00,12.00-21.00,12.00-21.00,http://museumroute66.ru/,+7 (812) 984 60 66,"196084, Санкт-Петербург, Конюшенная пл., 2 (вход под арку с Конюшенной площади)",59.939312,30.325798,0
Арт-центр «Пушкинская-10». Санкт-Петербургский музей звука,Музеи,15.00-19.00,15.00-19.00,15.00-19.00,15.00-19.00,15.00-19.00,15.00-19.00,15.00-19.00,soundmuseumspb.ru,+7 (812) 764-52-58,"191040, Санкт-Петербург, Лиговский пр., 53, Музейный флигель, 3-й этаж",59.92925500000001,30.359289,0
Музей железных дорог России,Музеи,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,http://rzd-museum.ru/,+7 (812) 457-23-16,"198095, Санкт-Петербург, Библиотечный переулок,4, корпус 2",59.905333999999996,30.29765200000001,0
Музей Социалистического Быта (филиал музея в г. Казань),Музеи,10.00-21.00,10.00-21.00,10.00-21.00,10.00-21.00,10.00-21.00,10.00-21.00,10.00-21.00,sovietlife.spb.ru,+7(981) 782-44-16,"191186, Санкт-Петербург, наб. канала Грибоедова, 15",59.936581999999994,30.326211999999998,0
Дворец творчества детей и молодёжи «Молодёжный творческий Форум Китеж плюс». Музей истории молодёжных организаций,Музеи,None,None,None,None,None,None,None,kitejplus.ru/index.php/nashi-muzei/muzej-istorii-molodezhnykh-organizatsij,+7 (953) 361-17-35,"197343, Санкт-Петербург, Торжковская ул., 30",59.992373,30.317123,0
Дворец творчества детей и молодёжи «Молодёжный творческий Форум Китеж плюс». Музей «Ремёсла северо-запада России»,Музеи,None,None,None,None,None,None,None,kitejplus.ru/index.php/nashi-muzei/muzej-remjosla-severo-zapada-rossii,+7 (953) 361-17-35,"197374, Санкт-Петербург, Школьная ул., 110 корпус 2, лит. А",59.992373,30.317123,0
Духовно-просветительский центр Царскосельского благочиния. Музей гвардейских стрелков Российской императорской армии,Музеи,11.00-14.00,11.00-14.00,11.00-14.00,11.00-14.00,11.00-14.00,11.00-14.00,11.00-14.00,tsarskoeblagochinie.ru/index.php/blagochinie/muzej-gvardejskikh-imperatorskikh-polkov,+7 (921) 303-53-76,"196603, Санкт-Петербург, Пушкин, Фуражный пер., 4",59.70760500000001,30.380784000000002,0
МЕМОРИАЛЬНЫЙ МУЗЕЙ «ДОРОГА ПОБЕДЫ»,Музеи,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,http://rzd-museum.ru/museum/branches,457-20-87,"188679, Ленинградская обл., станция «Петрокрепость» (в здании вокзала)",59.961059,31.02874000000001,0
МУЗЕЙ-ДОТ В СТАРО-ПАНОВО,Музеи,None,None,None,None,None,None,None,http://a-n.cerkov.ru/muzej-dot,8-952-398-59-91,"198205, Санкт-Петербург, Микрорайон Старо-Паново, ул. Набережная, 45",59.771898,30.136837,0
МУЗЕЙ ИСТОРИИ АВИАЦИОННЫХ ДВИГАТЕЛЕЙ,Музеи,None,None,None,None,None,None,None,http://www.klimov.ru/about/muzey/,454-71-94,"194100, Санкт-Петербург, ул. Академика Харитона, 8",60.046934,30.241437,0
МУЗЕЙ ИСТОРИИ И ТЕХНИКИ ОАО «КИРОВСКИЙ ЗАВОД»,Музеи,09.00-17.00,09.00-17.00,09.00-17.00,09.00-17.00,09.00-17.00,09.00-17.00,09.00-17.00,http://kzgroup.ru/rus/s/182/muzey.html,647-64-68,"198188, Санкт-Петербург, пр. Стачек, 72, лит. А",59.87838100000001,30.262873,0
Музей истории ПАО «Ижорские заводы»,Музеи,None,None,None,None,None,None,None,http://www.omz-izhora.ru/press-center/muzey-istorii-izhorskikh-zavodov/,461-15-43,"196653, Санкт-Петербург, Колпино, Советский б-р, 29",59.746131999999996,30.594074,0
Музей Ленинградского металлического завода,Музеи,None,None,None,None,None,None,None,http://museum.power-m.ru,326-72-30,"195009, Санкт-Петербург, ул. Ватутина, 3, лит. А",59.961042000000006,30.382122999999996,0
Музей русского сериала,Музеи,None,None,None,None,None,None,None,rustudios.ru,+7 (812) 600-03-01,"197348, Санкт-Петербург, ул. Генерала Хрулёва, 9, лит. А",59.995867000000004,30.291384000000004,0
МУЗЕЙ ХРАМОВ ЦАРСКОСЕЛЬСКОГО БЛАГОЧИНИЯ,Музеи,None,None,None,None,None,None,None,http://tsarskoeblagochinie.ru/index.php/blagochinie/muzej-khramov-blagochiniya,8-921-947-67-97,"Соборная площадь, 1, Пушкин, Санкт-Петербург, Россия, 196601 (крипта Екатерининского собора Царского Села)",59.72056800000001,30.406945,0
МУЗЕЙ «ИСТОРИЯ НАРОДНОГО ОБРАЗОВАНИЯ В ЦАРСКОМ СЕЛЕ - ДЕТСКОМ СЕЛЕ - Г. ПУШКИНЕ»,Музеи,None,None,None,None,None,None,None,http://www.pushkindt.spb.ru,466-55-85,"196607, г. Пушкин, ул. Пушкинская, 28/21 лит. А",59.721863,30.406753000000002,0
Государственный музей городской скульптуры. Филиал «Уткина дача»,Музеи,None,None,None,None,None,None,None,gmgs.ru,+7 (921) 924-11-12,"195112, Санкт-Петербург, Уткин пр., 2",59.934723,30.422125,0
Государственный музей истории Санкт-Петербурга. Конюшенное ведомство,Музеи,None,None,None,None,None,None,None,spbmuseum.ru,+7 (812) 230-64-31,"191186, Санкт-Петербург, Конюшенная пл., 1",59.941079,30.32789600000001,0
"Ленинградский Зоологический Парк. Музей ""Зоосад в годы блокады""",Музеи,13.00-16.00,13.00-16.00,13.00-16.00,13.00-16.00,13.00-16.00,13.00-16.00,13.00-16.00,http://spbzoo.ru/prosvewenie/muzeum-zoosad-v-gody-blokady,232-31-45,"197101, Санкт-Петербург, парк Александровский, 1",59.952897,30.308515999999997,0
Исторический парк «Россия - Моя история»),Музеи,10.00-20.00,10.00-20.00,10.00-20.00,10.00-20.00,10.00-20.00,10.00-20.00,10.00-20.00,https://myhistorypark.ru/?city=spb,+7 (812) 617-00-90,"196070, Санкт-Петербург, Бассейная ул., 32, стр. 1",59.8656,30.339574,0
"ЦПКИО им. С.М. КИРОВА. Елагиноостровский дворец-музей русского декоративно-прикладного искусства интерьера ХVIII - ХХ вв. Сектор ""Музей художественного стекла""",Музеи,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,https://elaginpark.org/to-do/muzey-khudozhestvennogo-stekla/,8 (812) 430-97-84,"197110, Санкт-Петербург, Елагин остров, 4",59.980261,30.268421999999997,0
ЦПКИО им. С.М. КИРОВА. Елагиноостровский дворец-музей русского декоративно-прикладного искусства интерьера ХVIII - ХХ вв.,Музеи,None,None,None,None,None,None,None,http://elaginpark.org/elaginoostrovsky-palace,8 (812) 430-11-30,"197110, Санкт-Петербург Елагин остров, 4",59.97936,30.270041,0
Государственный мемориальный дом-музей Н.А. Римского-Корсакова,Музеи,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,lenoblmus.ru/museum/rimskogo_korsakova/about,+7 (813) 67-51-267,"187500, Ленинградская область, г. Тихвин, ул. Римского-Корсакова, 12",59.653532999999996,33.515034,0
Арт-центр «Пушкинская-10». Музей новой академии изящных искусств,Музеи,16.00-20.00,16.00-20.00,16.00-20.00,16.00-20.00,16.00-20.00,16.00-20.00,16.00-20.00,p-10.ru,+7 (812) 764-53-71,"191040, Санкт-Петербург, Пушкинская ул., 10,",59.92914200000001,30.358819,0
Арт-центр «Пушкинская-10». Музей нонконформистского искусства,Музеи,None,None,None,None,None,None,None,nonmuseum.ru,+7 (812) 764-48-52,"191040, Санкт-Петербург, Лиговский пр., 53",59.929086,30.359121999999996,0
Академия русского балета им. А.Я. Вагановой. Кабинет истории русского балета им. М.Х. Франгопуло,Музеи,None,None,None,None,None,None,None,vaganovaacademy.ru/academy/structure/uch-vspom-otdeli/memorial.html,+7 (812) 456-07-65,"191023, Санкт-Петербург, ул. Зодчего Росси, 2",59.930482999999995,30.335928999999997,0
Музей русской драмы (Александринский театр),Музеи,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,alexandrinsky.ru/zaly,+7 (812) 710-41-76,"191023, Санкт-Петербург, пл. Островского, 6",59.931031000000004,30.336743,0
Санкт-Петербургский государственный университет. Структурное подразделение «Управление экспозиций и коллекций»,Музеи,None,None,None,None,None,None,None,spbu.ru/muzei-i-kollekcii-spbgu,+7 (812) 363-60-35,"199034, Санкт-Петербург, Университетская наб., 7/9",59.942001,30.298919,0
Электронный музей конституционной истории России,Музеи,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,http://www.rusconstitution.ru/,305-16-21,"190000, Санкт-Петербург, Сенатская пл., д. 3",59.935157,30.302193,0
Музей СССР (Мир детства),Музеи,12.00-19.00,12.00-19.00,12.00-19.00,12.00-19.00,12.00-19.00,12.00-19.00,12.00-19.00,artgarden.spb.ru/nindex.php?id=sssr,+7 (921) 405-44-89,"197198, Санкт-Петербург, Пионерская ул., 2 (Галерея Третьякова)",59.955064,30.296328999999997,0
Народный литературный музей Остапа Бендера,Музеи,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,vk.com/club22185781,+7 (812) 917-37-06,"194017, Санкт-Петербург, пр. Тореза, 104 к1",60.020625,30.330275,0
Санкт-Петербургский океанариум,Музеи,10.00-20.00,10.00-20.00,10.00-20.00,10.00-20.00,10.00-20.00,10.00-20.00,10.00-20.00,океанариум.рф,+7 (812) 448-00-77,"191119, Санкт-Петербург, ул. Марата, 86",59.919185999999996,30.338268,0
Санкт-Петербургский художественный музей,Музеи,None,None,None,None,None,None,None,https://spbartmuseum.ru,+7 921 893-36-03,"199155, Санкт-Петербург, наб. реки Смоленки, 2",59.949622999999995,30.27525,0
Музей матрёшки,Музеи,10.00-19.00,10.00-19.00,10.00-19.00,10.00-19.00,10.00-19.00,10.00-19.00,10.00-19.00,matryoshkamc.ru,+7 (812) 985-53-75,"191186, Санкт-Петербург, Итальянская ул., 6/4",59.936599,30.334560999999997,0
ТИТИКАКА,Музеи,10.00-21.00,10.00-21.00,10.00-21.00,10.00-21.00,10.00-21.00,10.00-21.00,10.00-21.00,https://titiqaqa.ru,+7 (812) 982-29-36,"191186, Санкт-Петербург, ул. Казанская, д. 7 (Пространство Казанская 7)",59.932002000000004,30.320831,0
МузЭрос Pinkrabbit,Музеи,None,None,None,None,None,None,None,museros.ru,+7 (960) 238-93-28,"192019, Санкт-Петербург, ул. Седова, д. 11",59.900213,30.400406,0
Выставочные залы Особняка Румянцева,Выставочные центры,None,None,None,None,None,None,None,http://www.spbmuseum.ru/themuseum/museum_complex/rumyantsev_mansion/,"+7 (812) 571-75-44, 571-08-48","190000, Санкт-Петербург, Английская наб., 44",59.932623,30.289524,0
"Выставочный зал журнала ""НоМИ""",Выставочные центры,None,None,None,None,None,None,None,www.worldart.ru,+7 (812) 233-08-54,"197198, Санкт-Петербург, Ижорская ул., 13/39",59.959291,30.297192,0
"Выставочный зал Правительства Ленинградской области ""Смольный""",Выставочные центры,None,None,None,None,None,None,None,www.lomuza.spb.ru,+7 (812) 579-57-22,"191311, Санкт-Петербург, ул. Смольного, 3",59.951181999999996,30.396707,0
"Выставочный центр ""Ленэкспо""",Выставочные центры,None,None,None,None,None,None,None,www.lenexpo.ru,+7 (812) 240-40-40,"199106, Санкт-Петербург, Большой пр. В.О., 103",59.931774,30.235046999999998,0
Выставочный центр Санкт-Петербургского Союза художников,Выставочные центры,None,None,None,None,None,None,None,None,+7 (812) 314-30-60,"190000, Санкт-Петербург, Большая Морская ул., 38",59.932959999999994,30.311386,0
"Государственный музей городской скульптуры, Новый выставочный зал",Выставочные центры,None,None,None,None,None,None,None,www.gmgs.ru/expoz/newvblzal,+7 (812) 274-25-79,"191167, Санкт-Петербург, Невский пр., 179/2 (вход с Чернорецкого пер., 2)",59.923085,30.385137,0
"Государственный музейно-выставочный центр ""РОСФОТО""",Выставочные центры,None,None,None,None,None,None,None,www.rosphoto.org,+7 (812) 314-12-14,"191186, Санкт-Петербург, Большая Морская ул., 35",59.93340600000001,30.30992100000001,0
Манеж Кадетского корпуса,Выставочные центры,None,None,None,None,None,None,None,http://manege-spb.ru/,+7 (812) 327-89-42,"199034, Санкт-Петербург, Университетская наб., 13",59.939271,30.298161999999998,0
"Музейно-выставочный центр ""Петербургский Художник""",Выставочные центры,None,None,None,None,None,None,None,None,+7 (812) 314-06-09,"190000, Санкт-Петербург, наб. р. Мойки, 100",59.92759399999999,30.294919,0
"Конгрессно-выставочный центр ""ЭКСПОФОРУМ""",Выставочные центры,None,None,None,None,None,None,None,None,+7 (812) 240-40-40,"Адрес: Санкт-Петербург, Петербургское шоссе, 64/1",59.76125,30.353704999999998,0
Выставочный зал ЦБС Московского района,Выставочные центры,None,None,None,None,None,None,None,http://www.libart.spb.ru/,+7 (812) 242-35-77,"196070, Санкт-Петербург, пл. Чернышевского, 6",59.86852800000001,30.317395,0
Санкт-Петербургский Дом Архитектора (Особняк Половцева),Выставочные центры,None,None,None,None,None,None,None,http://www.arcunionspb.ru/,"+7 (812) 312-04-00, +7 (812) 312-70-39","190000, Санкт-Петербург, улица Большая Морская, 52",59.93144,30.304675,0
Выставочный зал Санкт-Петербургского Дома Учёных,Выставочные центры,None,None,None,None,None,None,None,https://дом-ученых.рф,+7 (812) 315-88-14,"191186, Санкт-Петербург, Дворцовая наб. д.26",59.94335400000001,30.31947000000001,0
Выставочный Зал Института им. Репина (Парадные залы Научно-исследовательского Музея Российской Академии художеств),Выставочные центры,None,None,None,None,None,None,None,www.artsacademy.ru/,+7 (812) 323-61-89,"199034, г. Санкт-Петербург, Университетская наб., д. 17",59.9374,30.28997,0
"Выставочный зал ""Центра книги и графики""",Выставочные центры,None,None,None,None,None,None,None,http://pp3.ru/center,+7 (812) 273-51-84,"191028, Санкт-Петербург, Литейный пр., 55",59.935669,30.347731,0
Выставочные залы Елагиноостровского дворца (Конюшенный корпус),Выставочные центры,None,None,None,None,None,None,None,None,430-11-30,"197110, Санкт-Петербург, Елагин остров, д. 4",59.939094999999995,30.315868,0
Арт-Банк (бывш. Арт-центр в Перинных рядах),Выставочные центры,None,None,None,None,None,None,None,http://artbank.su/,+7 (904) 601-000-2,"191023, Санкт-Петербург, Невский пр., д. 62",59.933113,30.32832800000001,0
Лофт Проект Этажи,Выставочные центры,None,None,None,None,None,None,None,http://www.loftprojectetagi.ru,+7 (812) 458-50-05,"СПб, пр. Лиговский, д. 74",59.922034,30.355502,0
Музей истории фотографии,Выставочные центры,None,None,None,None,None,None,None,http://www.photohismus.spb.ru,"+7 (812) 346-18-50, +7 (911) 722 9217","197376, Санкт-Петербург, ул. Профессора Попова, д. 23",59.971231,30.313676,0
"Культурно-выставочный центр ""Евразия""",Выставочные центры,None,None,None,None,None,None,None,http://www.sivel.spb.ru/,+7 (812) 324-64-16,"194100, Санкт-Петербург, ул. Кантемировская, д.26 (внутри квартала)",59.987249,30.347255,0
Ткачи,Выставочные центры,None,None,None,None,None,None,None,http://tkachi.com/,+7 812 458 83 36,"195271, Санкт-Петербург, Обводного канала наб., д. 60",59.9154,30.342071999999998,0
Эрарта,Выставочные центры,None,None,None,None,None,None,None,http://www.erarta.com,+7 (812) 324-08-09,"199106, Санкт-Петербург, 29-я линия В.О., д. 2",59.931895999999995,30.251621000000004,0
Музей сновидений Фрейда,Выставочные центры,None,None,None,None,None,None,None,http://www.freud.ru,+7 (812) 456-22-90,"СПб, Большой проспект П.С., д. 18",59.955516,30.294946000000003,0
Санкт-Петербургский музей игрушки,Выставочные центры,None,None,None,None,None,None,None,https://www.spbtoymuseum.com/,+7 (812) 600-05-15,"197022, Санкт-Петербург, наб. реки Карповки, д. 32",59.969820999999996,30.300354,0
Выставочный центр  «Эрмитаж – Выборг»,Выставочные центры,None,None,None,None,None,None,None,http://erm.vbgcity.ru/,+7 (81378) 272-82,"Ленобласть, г. Выборг, ул. Ладанова, д.1",60.708488,28.737492,0
Концертный зал - Карнавал,Выставочные центры,None,None,None,None,None,None,None,http://www.anichkov.ru,+7 (812) 407-43-62,"СПб, пр. Невский, д. 39",59.93304499999999,30.339826000000002,0
Армянская апостольская церковь,Религиозные объекты,None,None,None,None,None,None,None, +7(812)7105061,+7(812)5704108,"Санкт-Петербург, Невский пр., д. 40-42",59.935299,30.332226,1
Церковь Святого Воскресения,Религиозные объекты,None,None,None,None,None,None,None,armenian-church.org,+7(812)3505301,"Санкт-Петербург, наб. реки Смоленки, д.29",59.947793,30.253345,1
Дацан Гунзэчойнэй,Религиозные объекты,None,None,None,None,None,None,None,dazan.spb.ru,+7(981)7559605,"Санкт-Петербург, Приморский пр., д.91",59.983477,30.255959000000004,1
Коломяжская мечеть,Религиозные объекты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Репищева ул., д.1",60.019505,30.282217,1
